ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400
,,,,,,,,,,12:00,,,"0, 1, 2","0, 1, 2",,2,3,5202,3567,1,2,3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80,100,120,140,160
1,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,1,1,Beroidae ,Beroidae ,Unidentified comb jelly,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,0,1,sca,Sebastes caurinus,Copper rockfish,2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
3,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,rni,Rhinogobiops nicholsii,Blackeye goby,36,0,7,21,8,,,,,,,,,,,,,,,,,,,,,,,,,
4,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,dim,Dermasterias imbricata,Leather star,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,henricia,Henricia spp.,Unidentified blood star,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,pgi,Pomaulax gibberosus,Red turban shell,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,phe,Pycnopodia helianthoides,Sunflower star,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,mfra,Mesocentrotus franciscanus,Red sea urchin,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,oko,Orthasterias koehleri,Rainbow star,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,aca,Apostichopus californicus,California sea cucumber,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,ptr,Polycera tricolor,Tricolour nudibranch,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,pte,Pteraster tesselatus,Slime star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,etr,Evasterias troschelii,Mottled starfish,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,sfo,Stylasterias forreri,Velcro seastar,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,pcle,Pholis clemensi,Longfin gunnel,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
16,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,2,1,dir,Dendronotus iris,Giant frond-aeolis,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,0,1,hde,Hexagrammos decagrammus,Kelp greenling,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
18,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,0,1,ppr,Pugettia producta,Northern kelp crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Em Lim,Kieran Cox,KCCA23,Flemming 114,48.8915,-125.1149,28/05/2023,1,40,10:15,EGL,10,0,1,dez,Debris - Zero,No Debris found,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,1,1,hde,Hexagrammos decagrammus,Kelp greenling,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
21,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,1,1,sca,Sebastes caurinus,Copper rockfish,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
22,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,1,1,bfr,Brachyistius frenatus,Kelp perch,18,0,,,2,14,2,,,,,,,,,,,,,,,,,,,,,,,
23,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,1,1,sme,Sebastes melanops,Black rockfish,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
24,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,2,1,ppr,Pugettia producta,Northern kelp crab,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,0,1,sca,Sebastes caurinus,Copper rockfish,4,0,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
26,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,2,1,phe,Pycnopodia helianthoides,Sunflower star,5,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,0,1,hde,Hexagrammos decagrammus,Kelp greenling,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,2,1,oko,Orthasterias koehleri,Rainbow star,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,2,1,etr,Evasterias troschelii,Mottled starfish,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,2,1,hhe,Hemilepidotus hemilepidotus,Red Irish lord,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
31,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,2,1,pmi,Patiria miniata,Bat star,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,2,1,rni,Rhinogobiops nicholsii,Blackeye goby,10,0,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
33,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,2,1,hexagrammos,Hexagrammos spp.,0,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,2,1,deo,Debris - Other,"Any debris OTHER THAN fishing gear, made of plastic, cloth, metal, glass or timber",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,0,1,cpr,Cancer productus,Red rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Em Lim,Kieran Cox,BMKC1,Dixon Bay 2,48.85395,-125.1161,29/05/2023,1.5,240,7:43,EGL,6,0,1,afl,Aulorhynchus flavidus,Tube-snout,8,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,1,1,sca,Sebastes caurinus,Copper rockfish,3,0,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
38,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,1,1,sme,Sebastes melanops,Black rockfish,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
39,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,1,1,bfr,Brachyistius frenatus,Kelp perch,24,0,,11,9,3,1,,,,,,,,,,,,,,,,,,,,,,,
40,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,1,1,cag,Cymatogaster aggregata,Shiner perch,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
41,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,1,1,rni,Rhinogobiops nicholsii,Blackeye goby,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,rni,Rhinogobiops nicholsii,Blackeye goby,25,0,4,14,7,,,,,,,,,,,,,,,,,,,,,,,,,
43,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,dim,Dermasterias imbricata,Leather star,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,phe,Pycnopodia helianthoides,Sunflower star,16,0,9,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,
45,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,hde,Hexagrammos decagrammus,Kelp greenling,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
46,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,ppr,Pugettia producta,Northern kelp crab,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,pmi,Patiria miniata,Bat star,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,aca,Apostichopus californicus,California sea cucumber,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,opi,Oxylebius pictus,Painted greenling,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
50,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,sac,Scyra acutifrons,Sharpnose crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,etr,Evasterias troschelii,Mottled starfish,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,cpr,Cancer productus,Red rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,henricia,Henricia spp.,Unidentified blood star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,2,1,ptr,Polycera tricolor,Tricolour nudibranch,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Em Lim,Kieran Cox,KCCA20,Nanat Bay,48.880543,-125.076486,30/05/2023,2.5,260,9:23,EGL,5.5,0,1,dez,Debris - Zero,No Debris found,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,1,1,hde,Hexagrammos decagrammus,Kelp greenling,8,0,,,,,,,,3,3,2,,,,,,,,,,,,,,,,,,
57,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,1,1,sme,Sebastes melanops,Black rockfish,4,0,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,
58,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,1,1,rva,Rhacochilus vacca,Pile perch,4,0,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,
59,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,1,1,hhe,Hemilepidotus hemilepidotus,Red Irish lord,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
60,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,oko,Orthasterias koehleri,Rainbow star,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,mfra,Mesocentrotus franciscanus,Red sea urchin,133,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,pgi,Pomaulax gibberosus,Red turban shell,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,cfo,Ceratostoma foliatum,Leafy hornmouth,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,hka,Haliotis kamtschatkana,Pinto abalone,20,0,,2,5,8,5,,,,,,,,,,,,,,,,,,,,,,,
65,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,hcr,Hermissenda crassicornis,Opalescent nudibranch,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,pmi,Patiria miniata,Bat star,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,ami,Acmaea mitra,Whitecap limpet,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,aca,Apostichopus californicus,California sea cucumber,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,poc,Pisaster ochraceus,Purple sea star,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,jzo,Jordania zonope,Longfin sculpin,6,0,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,
71,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,hermit,Paguroidea spp.,0,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,aha,Artedius harringtoni,Scalyhead sculpin,3,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
73,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,dim,Dermasterias imbricata,Leather star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,ala,Artedius lateralis,Smoothhead sculpin,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
75,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,lbe,Lophopanopeus bellus,Black-clawed crab,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,rni,Rhinogobiops nicholsii,Blackeye goby,2,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
77,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,spu,Strongylocentrotus purpuratus,Purple sea urchin,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,sfo,Stylasterias forreri,Velcro seastar,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Claire Attridge,Kieran Cox,KCCA7,Ed King East Inside,48.83608,-125.2131,06/06/2023,2,120,10:20,KDC,2,2,1,dec,Debris - Cloth,Any cloth debris,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,1,2,hde,Hexagrammos decagrammus,Kelp greenling,6,0,,,,1,1,,,3,1,,,,,,,,,,,,,,,,,,,
81,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,1,2,afl,Aulorhynchus flavidus,Tube-snout,11,0,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
82,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,mfra,Mesocentrotus franciscanus,Red sea urchin,110,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,poc,Pisaster ochraceus,Purple sea star,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,hpu,Henricia pumila,Dwarf mottled henricia,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,dim,Dermasterias imbricata,Leather star,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,aha,Artedius harringtoni,Scalyhead sculpin,4,0,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,
88,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,hermit,Paguroidea spp.,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,ogr,Oregonia gracilis,Graceful decorator crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,oko,Orthasterias koehleri,Rainbow star,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,lbe,Lophopanopeus bellus,Black-clawed crab,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,hsty,Heptacarpus stylus,Stiletto shrimp,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,clu,Cadlina luteomarginata,Yellow-edge cadlina,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,hka,Haliotis kamtschatkana,Pinto abalone,8,0,,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
96,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,spu,Strongylocentrotus purpuratus,Purple sea urchin,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,afu,Antiopella fusca,White-and-orange-tipped nudibranch,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Claire Attridge,Kieran Cox,KCCA13,Second Beach South,48.81508,-125.17585,07/06/2023,1.5,160,9:44,KDC,4.9,2,2,cste,Cryptochiton stelleri,Gumboot chiton,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
