SiteName,Surveyor,Date,Time_start,Depth_m,Depth_datum_m,RLS_dist,Transect,Macro_5m2,Nereo_5m2,Comments,,,,,,,,,,,,,,,
Flemming 114,BM,28-05-2023,13:05,7.4,5.522477,0,0,1,0,,,,,,,,,,,,,,,,
Flemming 114,KC,28-05-2023,13:05,7.4,5.522477,5,5,5,0,,,,,,,,,,,,,,,,
Flemming 114,BM,28-05-2023,13:05,7.4,5.522477,10,10,2,0,,,,,,,,,,,,,,,,
Flemming 114,KC,28-05-2023,13:05,7.4,5.522477,15,15,1,0,,,,,,,,,,,,,,,,
Dixon Bay 2,KC,29-05-2023,09:35,5.2,2.637791,0,0,0,0,"kelp bleached and degraded, decreased wtih depth, lots of littoria herbivory",,,,,,,,,,,,,,,
Dixon Bay 2,BM,29-05-2023,09:35,5.2,2.637791,5,5,24,0,,,,,,,,,,,,,,,,
Dixon Bay 2,KC,29-05-2023,09:35,5.2,2.637791,10,10,2,0,,,,,,,,,,,,,,,,
Dixon Bay 2,BM,29-05-2023,09:35,5.2,2.637791,15,15,9,0,,,,,,,,,,,,,,,,
Nanat Bay,KC,30-05-2023,11:11,3.5,0.943739,5,0,2,0,"kelp bleached and degraded, decreased wtih depth, lots of littoria herbivory",,,,,,,,,,,,,,,
Nanat Bay,BM,30-05-2023,11:11,3.5,0.943739,10,5,9,0,,,,,,,,,,,,,,,,
Nanat Bay,KC,30-05-2023,11:11,3.5,0.943739,15,10,11,0,,,,,,,,,,,,,,,,
Nanat Bay,BM,30-05-2023,11:11,3.5,0.943739,20,15,0,0,,,,,,,,,,,,,,,,
Second Beach South,CMA,07-06-2023,12:45,4,2.653389,0,0,0,91,,,,,,,,,,,,,,,,
Second Beach South,BM,07-06-2023,12:45,5.2,3.853389,5,5,0,11,,,,,,,,,,,,,,,,
Second Beach South,CMA,07-06-2023,12:45,4,2.653389,10,10,0,84,,,,,,,,,,,,,,,,
Second Beach South,BM,07-06-2023,12:45,3.6,2.253389,15,15,0,11,,,,,,,,,,,,,,,,
Ed Kind East Inside,BM,06-06-2023,11:52,1.7,0.425553,35,0,28,1,"Nereo collected and weighed, used by UP field course",,,,,,,,,,,,,,,
Ed Kind East Inside,CMA,06-06-2023,11:52,1.8,0.525553,40,5,5,1,"Nereo collected and weighed, used by UP field course",,,,,,,,,,,,,,,
Ed Kind East Inside,BM,06-06-2023,11:52,1.7,0.425553,45,10,0,0,"Nereo collected and weighed, used by UP field course",,,,,,,,,,,,,,,
Ed Kind East Inside,CMA,06-06-2023,11:52,1.8,0.525553,50,15,0,0,"Nereo collected and weighed, used by UP field course",,,,,,,,,,,,,,,
Wizard Islet North,CMA,08-06-2023,10:50,5,4.612542,0,0,0,0,,,,,,,,,,,,,,,,
Wizard Islet North,KC,08-06-2023,10:50,5,4.612542,5,5,0,0,,,,,,,,,,,,,,,,
Wizard Islet North,CMA,08-06-2023,10:50,5,4.612542,10,10,0,0,,,,,,,,,,,,,,,,
Wizard Islet North,KC,08-06-2023,10:50,5,4.612542,15,15,0,0,,,,,,,,,,,,,,,,
Dodger Channel 1,CMA,09-06-2023,13:42,2.4,1.30511,12.5,0,30,0,,,,,,,,,,,,,,,,
Dodger Channel 1,CMA,09-06-2023,13:42,2.4,1.30511,17.5,5,3,0,,,,,,,,,,,,,,,,
Dodger Channel 1,CMA,09-06-2023,13:42,2.4,1.30511,22.5,10,66,0,,,,,,,,,,,,,,,,
Dodger Channel 1,CMA,09-06-2023,13:42,2.4,1.30511,27.5,15,0,0,,,,,,,,,,,,,,,,
Tzartus 116 R,BM,10-06-2023,12:54,2.6,1.790866,12.5,0,0,0,,,,,,,,,,,,,,,,
Tzartus 116 R,CMA,10-06-2023,12:54,2.6,1.790866,17.5,5,9,0,,,,,,,,,,,,,,,,
Tzartus 116 R,BM,10-06-2023,12:54,2.6,1.790866,22.5,10,46,0,,,,,,,,,,,,,,,,
Tzartus 116 R,CMA,10-06-2023,12:54,2.6,1.790866,27.5,15,20,0,,,,,,,,,,,,,,,,
Ross Islet 2,CMA,12-06-2023,13:18,1.5,0.068034,20,0,98,0,,,,,,,,,,,,,,,,
Ross Islet 2,BM,12-06-2023,13:18,1.5,0.068034,25,5,45,0,,,,,,,,,,,,,,,,
Ross Islet 2,CMA,12-06-2023,13:18,1.5,0.068034,30,10,86,0,,,,,,,,,,,,,,,,
Ross Islet 2,BM,12-06-2023,13:18,1.5,0.068034,35,15,33,0,,,,,,,,,,,,,,,,
Ross Islet Slug Island,CMA,14-06-2023,13:00,2.4,0.386139,35,0,78,0,"kelp bleached and degraded, decreased wtih depth, lots of littoria herbivory",,,,,,,,,,,,,,,
Ross Islet Slug Island,BM,14-06-2023,13:00,2.4,0.386139,40,5,30,0,,,,,,,,,,,,,,,,
Ross Islet Slug Island,CMA,14-06-2023,13:00,2.4,0.386139,45,10,102,0,,,,,,,,,,,,,,,,
Ross Islet Slug Island,BM,14-06-2023,13:00,2.4,0.386139,50,15,48,0,,,,,,,,,,,,,,,,
Less Dangerous Bay,KC,13-06-2023,,,,0,0,0,0,,,,,,,,,,,,,,,,
Less Dangerous Bay,CMA,13-06-2023,,,,0,5,0,0,,,,,,,,,,,,,,,,
Less Dangerous Bay,KC,13-06-2023,,,,0,10,0,0,,,,,,,,,,,,,,,,
Less Dangerous Bay,CMA,13-06-2023,,,,0,15,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
