SiteName,Date,Depth_m,Depth_datum_m,Transect,Species,Sampled,Height_m,Biomass_g,Sub_circ_cm,comments
Flemming 114,28-05-2023,7.4,5.522477,0,Macro,n1,6.34,570,NA,
Flemming 114,28-05-2023,7.4,5.522477,5,Macro,n1,4.66,1000,NA,
Flemming 114,28-05-2023,7.4,5.522477,5,Macro,n2,4.43,920,NA,
Flemming 114,28-05-2023,7.4,5.522477,5,Macro,n3,1.82,260,NA,2 partial pieces for n4 and n5 not measured
Flemming 114,28-05-2023,7.4,5.522477,10,Macro,n1,5.35,190,NA,
Flemming 114,28-05-2023,7.4,5.522477,10,Macro,n2,5.37,700,NA,
Flemming 114,28-05-2023,7.4,5.522477,15,Macro,n1,NA,1950,NA,
Flemming 114,28-05-2023,7.4,5.522477,15,Macro,n2,NA,1224,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,0,Macro,n1,NA,NA,NA,"majority of the blades from this site are close to the AP bare near the HF, VERY mucusy"
Dixon Bay 2,29-05-2023,5.2,2.637791,5,Macro ,n1,1.77,450,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,5,Macro ,n2,1.89,370,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,5,Macro ,n3,5.48,970,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,5,Macro ,n4,0.79,110,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,5,Macro ,n5,0.49,60,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,10,Macro ,n1,6.83,1090,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,10,Macro ,n2,5.88,3060,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,15,Macro ,n1,2.83,980,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,15,Macro ,n2,2.23,680,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,15,Macro ,n3,1.4,230,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,15,Macro ,n4,1.13,570,NA,
Dixon Bay 2,29-05-2023,5.2,2.637791,15,Macro ,n5,0.27,30,NA,
Nanat Bay,30-05-2023,3.5,0.943739,0,Macro ,n1,4.69,2960,NA,
Nanat Bay,30-05-2023,3.5,0.943739,0,Macro ,n2,1.69,1330,NA,
Nanat Bay,30-05-2023,3.5,0.943739,5,Macro ,n1,2.93,900,NA,
Nanat Bay,30-05-2023,3.5,0.943739,5,Macro ,n2,3.66,1120,NA,
Nanat Bay,30-05-2023,3.5,0.943739,5,Macro ,n3,0.59,290,NA,
Nanat Bay,30-05-2023,3.5,0.943739,5,Macro ,n4,1.56,1060,NA,
Nanat Bay,30-05-2023,3.5,0.943739,5,Macro ,n5,0.29,230,NA,
Nanat Bay,30-05-2023,3.5,0.943739,10,Macro,n1,6.59,2710,NA,
Nanat Bay,30-05-2023,3.5,0.943739,10,Macro,n2,3.17,1180,NA,
Nanat Bay,30-05-2023,3.5,0.943739,10,Macro,n3,0.61,190,NA,
Nanat Bay,30-05-2023,3.5,0.943739,10,Macro,n4,3.46,1950,NA,
Second Beach South,07-06-2023,4,2.653389,0,Nereo,n1,5.02,NA,4.4,
Second Beach South,07-06-2023,4,2.653389,0,Nereo,n2,1.24,NA,1.3,
Second Beach South,07-06-2023,4,2.653389,0,Nereo,n3,2.01,NA,1.2,
Second Beach South,07-06-2023,4,2.653389,0,Nereo,n4,3.29,NA,6.8,
Second Beach South,07-06-2023,4,2.653389,0,Nereo,n5,1.44,NA,1.3,
Second Beach South,07-06-2023,5.2,3.853389,5,Nereo,n1,0.94,NA,0.5,estimate of circumference
Second Beach South,07-06-2023,5.2,3.853389,5,Nereo,n2,4.79,NA,2,
Second Beach South,07-06-2023,5.2,3.853389,5,Nereo,n3,4.25,NA,3.2,
Second Beach South,07-06-2023,5.2,3.853389,5,Nereo,n4,0.26,NA,1,estimate of circumference
Second Beach South,07-06-2023,5.2,3.853389,5,Nereo,n5,1.25,NA,0.7,estimate of circumference
Second Beach South,07-06-2023,4,2.653389,10,Nereo,n1,3.38,NA,4.8,
Second Beach South,07-06-2023,4,2.653389,10,Nereo,n2,1.98,NA,2.2,
Second Beach South,07-06-2023,4,2.653389,10,Nereo,n3,0.7,NA,0.6,
Second Beach South,07-06-2023,4,2.653389,10,Nereo,n4,1.32,NA,1.8,
Second Beach South,07-06-2023,4,2.653389,10,Nereo,n5,4.1,NA,4.5,
Second Beach South,07-06-2023,3.6,2.253389,15,Nereo,n1,1.56,NA,4.5,
Second Beach South,07-06-2023,3.6,2.253389,15,Nereo,n2,0.79,NA,1,
Second Beach South,07-06-2023,3.6,2.253389,15,Nereo,n3,0.13,NA,0.7,
Second Beach South,07-06-2023,3.6,2.253389,15,Nereo,n4,1.38,NA,3.5,
Second Beach South,07-06-2023,3.6,2.253389,15,Nereo,n5,0.051,NA,0.6,
Ed King East Inside,06-06-2023,1.7,0.425553,0,Nereo,n1,0.42,18.28,1.2,
Ed King East Inside,06-06-2023,1.7,0.425553,0,Nereo,n2,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,0,Nereo,n3,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,0,Nereo,n4,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,0,Nereo,n5,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,0,Macro,n1,1.45,308.9,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,0,Macro,n2,0.41,68.18,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,0,Macro,n3,2.05,370,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,0,Macro,n4,2.2,119.14,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,0,Macro,n5,0.5,59.57,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,5,Nereo,n1,0.16,8.04,1.2,
Ed King East Inside,06-06-2023,1.8,0.525553,5,Nereo,n2,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,5,Nereo,n3,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,5,Nereo,n4,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,5,Nereo,n5,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,5,Macro,n1,1.23,196.27,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,5,Macro,n2,0.29,21.6,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,5,Macro,n3,1.53,82.92,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,5,Macro,n4,0.89,85.52,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,5,Macro,n5,0.69,52.25,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,10,Nereo,n1,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,10,Nereo,n2,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,10,Nereo,n3,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,10,Nereo,n4,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,10,Nereo,n5,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,10,Macro,n1,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,10,Macro,n2,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,10,Macro,n3,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,10,Macro,n4,NA,NA,NA,
Ed King East Inside,06-06-2023,1.7,0.425553,10,Macro,n5,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,15,Nereo,n1,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,15,Nereo,n2,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,15,Nereo,n3,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,15,Nereo,n4,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,15,Nereo,n5,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,15,Macro,n1,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,15,Macro,n2,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,15,Macro,n3,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,15,Macro,n4,NA,NA,NA,
Ed King East Inside,06-06-2023,1.8,0.525553,15,Macro,n5,NA,NA,NA,
Wizard Islet North,08-06-2023,5,4.612542,0,Macro,n1,NA,NA,NA,bare site
Wizard Islet North,08-06-2023,5,4.612542,5,Macro,n2,NA,NA,NA,
Wizard Islet North,08-06-2023,5,4.612542,10,Macro,n3,NA,NA,NA,
Wizard Islet North,08-06-2023,5,4.612542,15,Macro,n4,NA,NA,NA,
Wizard Islet North,08-06-2023,5,4.612542,0,Nereo,n1,NA,NA,NA,
Wizard Islet North,08-06-2023,5,4.612542,5,Nereo,n2,NA,NA,NA,
Wizard Islet North,08-06-2023,5,4.612542,10,Nereo,n3,NA,NA,NA,
Wizard Islet North,08-06-2023,5,4.612542,15,Nereo,n4,NA,NA,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,0,Macro,n1,1.73,310.85,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,0,Macro,n2,3.88,1403.21,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,0,Macro,n3,1.41,375.67,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,0,Macro,n4,0.72,89.42,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,0,Macro,n5,1.03,251.66,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,5,Macro,n1,0.79,90.53,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,5,Macro,n2,0.37,46.8,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,5,Macro,n3,NA,NA,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,10,Macro,n1,3.11,1028.23,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,10,Macro,n2,0.96,322.45,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,10,Macro,n3,1.85,313.47,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,10,Macro,n4,3.03,837.2,NA,
Dodger Channel 1,09-06-2023,2.4,1.30511,10,Macro,n5,1.18,411,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,0,Macro,NA,NA,NA,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,5,Macro,n1,2.87,576.74,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,5,Macro,n2,1.47,221.78,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,5,Macro,n3,1.956,337.7,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,5,Macro,n4,0.92,283.57,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,5,Macro,n5,3.04,283.18,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,10,Macro,n1,2.698,642.7,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,10,Macro,n2,1.828,200.58,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,10,Macro,n3,6.49,406.72,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,10,Macro,n4,6.46,601.26,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,10,Macro,n5,NA,NA,NA,partial not measured
Tzartus 116 R,10-06-2023,2.6,1.790866,15,Macro,n1,1.01,340.14,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,15,Macro,n2,0.942,402.48,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,15,Macro,n3,4.1,556.37,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,15,Macro,n4,3.274,1102.68,NA,
Tzartus 116 R,10-06-2023,2.6,1.790866,15,Macro,n5,0.772,283.64,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,0,Macro,n1,0.826,135.99,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,0,Macro,n2,2.54,288.75,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,0,Macro,n3,1.36,456.16,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,0,Macro,n4,1.08,428.33,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,0,Macro,n5,0.89,297.05,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,5,Macro,n1,3.85,526.88,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,5,Macro,n2,0.85,170.06,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,5,Macro,n3,0.38,18.62,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,5,Macro,n4,1.774,242.45,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,5,Macro,n5,1.32,201.68,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,10,Macro,n1,3.47,335.03,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,10,Macro,n2,1.1,542.65,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,10,Macro,n3,1.42,424.35,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,10,Macro,n4,0.85,177.8,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,10,Macro,n5,NA,NA,NA,partial not measured
Ross Islet 2,12-06-2023,1.5,0.068034,15,Macro,n1,1.43,520.62,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,15,Macro,n2,4.63,757.4,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,15,Macro,n3,0.23,66.51,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,15,Macro,n4,0.27,105.13,NA,
Ross Islet 2,12-06-2023,1.5,0.068034,15,Macro,n5,0.93,265.12,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,0,Macro,n1,0.76,306.97,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,0,Macro,n2,0.73,115.46,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,0,Macro,n3,0.242,154.18,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,0,Macro,n4,1.35,165.78,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,0,Macro,n5,2.018,533.92,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,5,Macro,n1,0.28,104.38,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,5,Macro,n2,1.17,501.13,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,5,Macro,n3,0.4,110.47,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,5,Macro,n4,1.228,356.04,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,5,Macro,n5,0.16,72.56,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,10,Macro,n1,0.624,200.58,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,10,Macro,n2,0.56,201.74,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,10,Macro,n3,0.421,126.87,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,10,Macro,n4,1.62,489.79,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,10,Macro,n5,1.07,301.27,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,15,Macro,n1,0.14,46.9,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,15,Macro,n2,0.31,135.37,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,15,Macro,n3,0.78,283.44,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,15,Macro,n4,1.1,348.02,NA,
Ross Islet Slug Island,14-06-2023,2.4,0.386139,15,Macro,n5,0.26,98.57,NA,
Less Dangerous Bay,13-06-2023,3.2,0.62753,0,Macro,n1,NA,NA,NA,
Less Dangerous Bay,13-06-2023,3.2,0.62753,5,Macro,n2,NA,NA,NA,
Less Dangerous Bay,13-06-2023,3.2,0.62753,10,Macro,n3,NA,NA,NA,
Less Dangerous Bay,13-06-2023,3.2,0.62753,15,Macro,n4,NA,NA,NA,
Less Dangerous Bay,13-06-2023,3.2,0.62753,0,Nereo,n1,NA,NA,NA,
Less Dangerous Bay,13-06-2023,3.2,0.62753,5,Nereo,n2,NA,NA,NA,
Less Dangerous Bay,13-06-2023,3.2,0.62753,10,Nereo,n3,NA,NA,NA,
Less Dangerous Bay,13-06-2023,3.2,0.62753,15,Nereo,n4,NA,NA,NA,
