SiteName,Date,Sampled,Height_m,Biomass_g,Sub_circ_cm
Second Beach South,08/05/2022,n1,6.77,4535,16
Second Beach South,08/05/2022,n2,4.78,162,2
Second Beach South,08/05/2022,n3,7.45,6124,20
Second Beach South,08/05/2022,n4,6.81,4762,19
Second Beach South,08/05/2022,n5,5.37,2948,16
Second Beach South,08/05/2022,n6,6.72,3402,17
Ed King East Inside,09/05/2022,n1,2.09,766,6.2
Ed King East Inside,09/05/2022,n2,2.48,942,8
Ed King East Inside,09/05/2022,n3,2.49,310,3.5
Ed King East Inside,09/05/2022,n4,3.14,662,10.4
Ed King East Inside,09/05/2022,n5,2.57,392,7.8
Ed King East Inside,09/05/2022,n6,1.78,688,9.5
Ed King East Inside,09/05/2022,n7,2.93,1148,9.9
Ed King East Inside,09/05/2022,n8,3.15,1020,7.7
Ed King East Inside,09/05/2022,n9,3.41,868,10.2
Ed King East Inside,09/05/2022,n10,3.43,1108,7
Ed King East Inside,09/14/2022,n11,3.23,1752,14
Ed King East Inside,09/14/2022,n12,3.68,1304,13.1
Ed King East Inside,09/14/2022,n13,3.01,1242,14
Ed King East Inside,09/14/2022,n14,3.11,1256,13.8
Ed King East Inside,09/14/2022,n15,0.75,70,1.5
Ed King East Inside,09/14/2022,n16,0.63,15,0.9
Ed King East Inside,09/14/2022,n17,1.92,184,5.5
Ed King East Inside,09/14/2022,n18,1.81,202,3.1
Ed King East Inside,09/14/2022,n19,1.65,676,6.4
Ed King East Inside,09/14/2022,n20,2.56,1910,14.5
Ed King East Inside,09/14/2022,n21,1.67,578,5
Ed King East Inside,09/14/2022,n22,3.55,1384,13.5
Second Beach South,09/15/2022,n7,4.26,526,5
Second Beach South,09/15/2022,n8,9,2360,11.4
Second Beach South,09/15/2022,n9,6.03,966,8.7
Second Beach South,09/15/2022,n10,5.29,634,5.9
Second Beach South,09/15/2022,n11,6.2,2972,10.3
Second Beach South,09/15/2022,n12,2.14,114,0.7
Second Beach South,09/15/2022,n13,1.5,76,0.9
Second Beach South,09/15/2022,n14,5.24,298,4.9
Second Beach South,09/15/2022,n15,0.43,426,3.7
Second Beach South,09/15/2022,n16,8.86,1704,10
Second Beach South,09/15/2022,n17,5.38,2348,10.6
Second Beach South,09/15/2022,n18,7.52,1396,10.5
Second Beach South,09/15/2022,n19,6.94,1344,8.6
Second Beach South,09/15/2022,n20,0.6,62,0.6
Swiss Boy,09/19/2022,n1,3.07,1388,12
Swiss Boy,09/19/2022,n2,3.55,2372,14.1
Swiss Boy,09/19/2022,n3,2.2,336,3.8
Swiss Boy,09/19/2022,n4,2.17,906,7.4
Swiss Boy,09/19/2022,n5,1.72,732,8
Swiss Boy,09/19/2022,n6,1.29,362,4.2
Swiss Boy,09/19/2022,n7,0.93,86,1
Swiss Boy,09/19/2022,n8,3.23,1034,8.3
Swiss Boy,09/19/2022,n9,2.89,660,10.6
Swiss Boy,09/19/2022,n10,2.28,754,8.1
Swiss Boy,09/19/2022,n11,2.8,332,4.4
Swiss Boy,09/19/2022,n12,2.34,1750,13.5
Swiss Boy,09/19/2022,n13,1.99,1320,12.5
Swiss Boy,09/19/2022,n14,3.17,2258,14.6
Swiss Boy,09/19/2022,n15,3.97,738,9
Swiss Boy,09/19/2022,n16,4.34,502,4.4
Swiss Boy,09/19/2022,n17,2.68,288,2
Swiss Boy,09/19/2022,n18,2.32,1128,8.7
Swiss Boy,09/19/2022,n19,0.29,18,0.8
Swiss Boy,09/19/2022,n20,3.77,808,10.4
Swiss Boy,09/19/2022,n21,2.24,652,7.3
Swiss Boy,09/19/2022,n22,3.77,1250,9